Type;Class;Variable1;Variable2;Frequency;Frequency_Difference;
U;0;(Street, Interstate);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, on_off_ramp);(Wind_Direction, W);0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Interstate);(Station, True);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Windy);0.000;;
U;0;(Street, Beltway);(Traffic_Signal, True);0.000;;
U;0;(Street, Beltway);(Weather_Condition, unknown);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, Highway);(Weather_Condition, Thunderstorm);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Fog);0.000;;
U;1;(Wind_Direction, Variable);(Railway, True);0.000;;
U;1;(Wind_Direction, NE);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Weather_Condition, Rain);(Station, True);0.000;;
U;0;(Street, Beltway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Weather_Condition, 'Heavy Rain');(Station, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, 'Light Freezing Rain');0.000;;
U;1;(Weather_Condition, Haze);(Stop, True);0.000;;
U;1;(Street, Highway);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Weather_Condition, Thunderstorms);(Crossing, True);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Thunder);0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, Snow);0.000;;
U;1;(Humidity(_%), '\'(69.5-83.5]\'');(Weather_Condition, Sleet);0.000;;
U;1;(Weather_Condition, 'Heavy Rain');(Crossing, True);0.000;;
U;1;(Street, local);(Weather_Condition, Sleet);0.000;;
U;1;(Weather_Condition, Sleet);(Sunrise_Sunset, Night);0.000;;
U;1;(Wind_Direction, Calm);(Weather_Condition, Thunder);0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Wind_Direction, Calm);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Humidity(_%), '\'(83.5-93.5]\'');(Weather_Condition, 'Heavy Sleet');0.000;;
U;1;(Weather_Condition, Windy);(Station, True);0.000;;
U;1;(Weather_Condition, Thunderstorm);(Sunrise_Sunset, Night);0.000;;
U;1;(Wind_Direction, N);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Wind_Direction, SW);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Railway, True);(Traffic_Calming, True);0.000;;
U;0;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Wind_Direction, W);(Weather_Condition, 'Wintry Mix');0.000;;
U;0;(Wind_Direction, N);(Weather_Condition, Sleet);0.000;;
U;0;(Weather_Condition, 'Small Hail');(Junction, True);0.000;;
U;0;(Street, Tunnel);(Weather_Condition, Thunderstorms);0.000;;
U;0;(Weather_Condition, Thunderstorms);(Stop, True);0.000;;
U;0;(Wind_Direction, unknown);(Weather_Condition, unknown);0.000;;
U;0;(Weather_Condition, 'Light Freezing Rain');(Station, True);0.000;;
U;0;(Weather_Condition, Thunderstorm);(Crossing, True);0.000;;
U;0;(Street, Interstate);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;0;(Wind_Direction, E);(Weather_Condition, Thunderstorm);0.000;;
U;0;(Weather_Condition, Thunderstorm);(Junction, True);0.000;;
U;0;(Weather_Condition, Snow);(Traffic_Calming, True);0.000;;
U;1;(Weather_Condition, Drizzle);(Railway, True);0.000;;
U;1;(Wind_Direction, unknown);(Weather_Condition, Fog);0.000;;
U;1;(Amenity, True);(Junction, True);0.000;;
U;1;(Weather_Condition, 'Light Freezing Fog');(Crossing, True);0.000;;
U;1;(Weather_Condition, 'Light Freezing Fog');(Traffic_Signal, True);0.000;;
U;1;(Weather_Condition, Windy);(Railway, True);0.000;;
U;1;(Weather_Condition, Haze);(Railway, True);0.000;;
U;1;(Weather_Condition, Thunderstorms);(Railway, True);0.000;;
U;1;(Weather_Condition, 'Light Freezing Fog');(Sunrise_Sunset, Night);0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Rain);0.000;;
U;1;(Street, local);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Street, Tunnel);(Weather_Condition, Sleet);0.000;;
U;1;(Wind_Direction, S);(Weather_Condition, 'Wintry Mix');0.000;;
U;1;(Wind_Direction, unknown);(Stop, True);0.000;;
U;1;(Wind_Direction, NW);(Weather_Condition, 'Light Freezing Fog');0.000;;
U;1;(Street, local);(Weather_Condition, 'Small Hail');0.000;;
U;1;(Street, Tunnel);(Weather_Condition, 'Heavy Rain');0.000;;
U;1;(Weather_Condition, 'Snow and Sleet');(Crossing, True);0.000;;
U;1;(Weather_Condition, 'Snow and Sleet');(Railway, True);0.000;;
U;1;(Street, local);(Weather_Condition, 'Ice Pellets');0.000;;
U;1;(Street, large_local);(Weather_Condition, Sleet);0.000;;
U;1;(Weather_Condition, Windy);(Amenity, True);0.000;;
U;1;(Weather_Condition, 'Wintry Mix');(Stop, True);0.000;;
U;1;(Street, large_local);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Weather_Condition, 'Wintry Mix');(Railway, True);0.000;;
U;1;(Weather_Condition, 'Wintry Mix');(Station, True);0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, unknown);0.000;;
U;1;(Weather_Condition, 'Snow and Sleet');(Sunrise_Sunset, Night);0.000;;
U;1;(Weather_Condition, 'Small Hail');(Sunrise_Sunset, Night);0.000;;
U;1;(Wind_Direction, W);(Railway, True);0.000;;
U;1;(Junction, True);(Stop, True);0.000;;
U;1;(Weather_Condition, Haze);(Amenity, True);0.000;;
U;1;(Weather_Condition, Snow);(Station, True);0.000;;
U;1;(Weather_Condition, Thunderstorms);(Station, True);0.000;;
U;1;(Weather_Condition, 'Light Freezing Rain');(Traffic_Signal, True);0.000;;
U;1;(Street, large_local);(Weather_Condition, 'Small Hail');0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Wind_Direction, Variable);(Weather_Condition, 'Snow and Sleet');0.000;;
U;1;(Street, on_off_ramp);(Weather_Condition, Windy);0.000;;
U;1;(Wind_Direction, unknown);(Weather_Condition, Thunderstorms);0.000;;
U;1;(Weather_Condition, Haze);(Traffic_Calming, True);0.000;;
U;1;(Weather_Condition, Thunder);(Station, True);0.000;;
U;1;(Street, Beltway);(Weather_Condition, 'Snow and Sleet');0.000;;
D;0;(Weather_Condition, Overcast);(Railway, True);0.000;18.302;
D;0;(Wind_Direction, S);(Weather_Condition, 'Light Freezing Rain');0.000;13.073;
D;0;(Street, Tunnel);(Weather_Condition, 'Scattered Clouds');0.000;13.073;
D;1;(Wind_Direction, NW);(Weather_Condition, 'Wintry Mix');0.001;11.857;
D;1;(Weather_Condition, Fair);(Railway, True);0.001;9.371;
D;1;(Railway, True);(Traffic_Signal, True);0.001;9.179;
D;1;(Street, on_off_ramp);(Wind_Direction, NW);0.001;8.797;
D;0;(Weather_Condition, Clear);(Junction, True);0.038;8.197;
D;0;(Weather_Condition, 'Light Freezing Rain');(Junction, True);0.000;7.844;
D;0;(Street, local);(Weather_Condition, Thunderstorm);0.000;7.844;
D;0;(Wind_Direction, SE);(Weather_Condition, Thunderstorm);0.000;7.844;
D;0;(Weather_Condition, Overcast);(Junction, True);0.025;7.692;
D;1;(Station, True);(Traffic_Calming, True);0.000;7.650;
D;1;(Street, large_local);(Weather_Condition, 'Wintry Mix');0.001;7.458;
D;0;(Street, Interstate);(Weather_Condition, 'Scattered Clouds');0.020;7.418;
D;0;(Street, Beltway);(Weather_Condition, Overcast);0.020;7.219;
D;0;(Weather_Condition, 'Scattered Clouds');(Junction, True);0.013;7.088;
D;1;(Wind_Direction, NE);(Weather_Condition, Windy);0.000;6.502;
D;1;(Railway, True);(Station, True);0.001;6.502;
D;0;(Street, Interstate);(Weather_Condition, Overcast);0.032;6.447;
D;1;(Wind_Direction, NE);(Weather_Condition, Sleet);0.000;6.120;
D;0;(Street, Interstate);(Weather_Condition, Clear);0.038;6.119;
D;1;(Wind_Direction, Calm);(Weather_Condition, 'Wintry Mix');0.001;5.928;
D;1;(Amenity, True);(Station, True);0.001;5.737;
D;1;(Street, on_off_ramp);(Wind_Direction, NE);0.000;5.737;
D;0;(Street, Beltway);(Weather_Condition, 'Scattered Clouds');0.009;5.613;
D;1;(Wind_Direction, SW);(Traffic_Calming, True);0.000;5.355;
D;0;(Weather_Condition, 'Scattered Clouds');(Traffic_Signal, False);0.061;5.229;
D;0;(Weather_Condition, 'Scattered Clouds');(Railway, True);0.000;5.229;
D;0;(Wind_Direction, Variable);(Weather_Condition, Thunderstorm);0.000;5.229;
D;0;(Weather_Condition, Overcast);(Traffic_Signal, False);0.113;5.206;
D;0;(Street, Beltway);(Weather_Condition, Clear);0.026;5.028;
